dataset,type,name,ratio,l1,l2,l3
bcc_NbTi,alloy,Nb112Ti16,1.6550344164076531,13.147008697736311,11.302109268819306,18.70537981789589
bcc_NbTi,alloy,Nb116Ti12,1.68457794982769,11.425099308488866,11.230031874596675,18.917864071807678
bcc_NbTi,alloy,Nb120Ti8,1.66804979490179,13.149258109276968,11.265083502368178,18.79072022567678
bcc_NbTi,alloy,Nb124Ti4,1.6692434896401476,11.383729190236707,11.312691486705868,18.88363661449129
bcc_NbTi,alloy,Nb12Ti116,1.6009542068139202,11.999821878897913,11.613228498479463,18.592247019332003
bcc_NbTi,alloy,Nb16Ti112,1.5937919728958683,11.589854227137947,12.180492388946847,18.471816634245705
bcc_NbTi,alloy,Nb20Ti108,1.6015667235147781,11.53171700063687,12.273258159908805,18.468814213209658
bcc_NbTi,alloy,Nb24Ti104,1.5846923456821282,11.534324652646005,12.591796655235278,18.278355989660795
bcc_NbTi,alloy,Nb28Ti100,1.57034939982246,11.538277431053924,11.537882412397334,18.11850672153027
bcc_NbTi,alloy,Nb32Ti96,1.5814068345809984,11.531964853671616,11.514657942765954,18.20935876855246
bcc_NbTi,alloy,Nb36Ti92,1.5836133296851507,11.479543625308459,13.01145598890203,18.179158303740675
bcc_NbTi,alloy,Nb40Ti88,1.605317181502159,12.93813389996742,11.434381424750367,18.3558089610009
bcc_NbTi,alloy,Nb44Ti84,1.6222428856947595,13.015102953731404,11.382723260786861,18.46554182964374
bcc_NbTi,alloy,Nb48Ti80,1.5951497369965035,13.098749479832499,11.446279935582195,18.258530428832294
bcc_NbTi,alloy,Nb4Ti124,1.5873656655521697,11.73460289339522,11.72934795483413,18.61876422281826
bcc_NbTi,alloy,Nb52Ti76,1.6260798730889998,11.369078231257218,11.337532489269165,18.435733391293216
bcc_NbTi,alloy,Nb56Ti72,1.622208650057346,13.039616086794641,11.384614078459947,18.468219435642368
bcc_NbTi,alloy,Nb60Ti68,1.6206779020242437,11.36715816043323,11.37874866101288,18.422502039428686
bcc_NbTi,alloy,Nb64Ti64,1.6263019753552292,11.364701399565412,11.379754759732437,18.48243633543557
bcc_NbTi,alloy,Nb68Ti60,1.633217321849912,13.10167494630597,11.343245714071415,18.52598538622121
bcc_NbTi,alloy,Nb72Ti56,1.642767606674941,11.364319043674566,11.308037829665661,18.57647824162955
bcc_NbTi,alloy,Nb76Ti52,1.636567237605376,11.349070963448819,13.100797311968217,18.573517716038815
bcc_NbTi,alloy,Nb80Ti48,1.6382203786202187,13.108368813720388,11.342352546883577,18.581273083799616
bcc_NbTi,alloy,Nb84Ti44,1.6373238991348171,11.348386058748735,11.37550112475703,18.58098371059768
bcc_NbTi,alloy,Nb88Ti40,1.6451606160108616,11.328774430567323,11.376956847345433,18.637653520840235
bcc_NbTi,alloy,Nb8Ti120,1.5919820930837725,11.760171779318929,11.728643808847242,18.67179091984266
bcc_NbTi,alloy,Nb92Ti36,1.6462675514935305,13.132132358902297,11.31032700569921,18.61982434626359
bcc_NbTi,alloy,Nb96Ti32,1.6355978446649393,13.133322691203611,11.354536844865642,18.571455990630884
bcc_NbV,pure,Nb128,1.0000000320019171,13.226313711263359,13.226314134530755,13.226313935916403
bcc_NbV,pure,V128,1.0000000908556996,11.960290175390423,11.960291262050955,11.960290789400844
bcc_NbV,alloy,Nb100V28,1.0011365247777264,12.98459831136521,12.987554355673662,12.9993556290749
bcc_NbV,alloy,Nb104V24,1.000667676778185,13.022721642788815,13.018897976063275,13.027590391919453
bcc_NbV,alloy,Nb108V20,1.0008108854046027,13.061494921089743,13.053338912424008,13.063923674429425
bcc_NbV,alloy,Nb112V16,1.001153880348884,13.085208763919391,13.095697340756441,13.100307529173122
bcc_NbV,alloy,Nb116V12,1.000378776077852,13.125588690255924,13.130560349259516,13.127603230243775
bcc_NbV,alloy,Nb120V8,1.0003272313526281,13.158873840282062,13.154569252792232,13.157545040371797
bcc_NbV,alloy,Nb124V4,1.000449196982348,13.186245568361874,13.186265062222484,13.19216879007968
bcc_NbV,alloy,Nb12V116,1.0007809671385206,12.09462766711889,12.099668652576286,12.104073173879554
bcc_NbV,alloy,Nb16V112,1.0002967213092495,12.145472681927394,12.144647533318839,12.141869930384912
